"","text","score"
"22","thank god i at the helm navigate this wuhan pandemic democrat leadership would allow americans to die all for political gain hop voter will realize who truly care about their heal family culture and literal live ffaac eaefbf votegop",-0.033
"23","you see the vimf i was just ask one edefbf question fbf what are you do to prevent the pandemic from spread in gh we live ekwansobrebreonhellofmffac kejetiacnn drivingyoufromashantiandbeyoundea",0.309
"24","cant be said enough our communityhelpers and firstresponders are heroes for show up in community like arlingtonma during a pandemic like covid proper respect andedaefbf",0.746
"25","sean although i love your idea i think the horse ha already left the barn i believe we are past the contain phase of this pandemic and are square in the mitigate one think of you and your family stay safe edaefbf",0.746
"26","thank to corona the world i given a free decelerate vacation from the system let see where that lead fedaf corona coronavirusdeutschland coronavirusde coronaferien coronavirus germany schulen covid pandemie pandemic pandemicpanic system",0.746
"27","fafafafabfbedefbf truth ffaf truth from my buddy realkristantoparonto coronavirus mexicanbeervirus stoppanicking washyourdamnhands washyourhands endoftheworld turnyourtvoff pandemic",0.125
"28","follow the recent classify of covid a a pandemic it real important to ensure excellent hygiene heres effect preventative action to help safeguard against possible infection visit our late article for further advice eeaefbf",0.147
"29","coronavirus information ffa eaaefbfconfirmed case since last tweet fa cover since last tweet ff deaths since last tweet coronavirus pandemic",-0.066
"30","here are the preshow noteslinks for your gnarly thursday morningmonarchy ontheair in hr eaefbfaefbfae echolyhexes march e",0.177
"31","indianfootball the remain match of the ileague include the marquee kolkata derby between champion and are likely to be play in empty stadium owe to the covid pandemic eabdefbf",0.616
"32","a good definition of a pandemic coronavirus phoenix rise ca all right serve phoenixrisingz mistressmuzic twitter",0.117
"33","trump crease cutecefbf the fund for the cdc global ease outbreak prevention in why pandemic trumpdemic coronaoutbreak",-0.459
"34","f apparent it took a pandemic for the donothingdemocrats to stop their all out resist campaign against potus betterlatethannever i guess ffaaedeefbf",0.125
"35","codvid declare pandemic by who ffb here in telangana hyderabad our honourable kcr sir suggest paracetamol for curefafbedefbf",0.125
"36","cloroxcae hydrogen peroxide infect clean spray cutie",0.279
"37","bitcoin few day a go those were the day btc never miss a cryptomagierffae warningeaaefbf bitcoinpanic pandemic",-0.066
"38","nice one putt up price when the country might have to go on lockdown and many of your custom move to statutory sick pay because of coronavirusuk sky fafbedefbf at least hold off until aft the pandemic ha finish",0.125
"39","coronavirusupdate avoid a catastrophic peak of infection ebefbf",0.209
"40","ffb hello everyone look for a posit diversity read that doesnet include the word coronavirus covid pandemic travelban or toiletpaper then check out eeaefbf",0.147
"41","didnet know that donaldtrumpes makeamericagreatagain consist of bee less prepare for a pandemic than a country like southkorea who i not even in the top in scientificresearch like america who i fafbdedefbf covd coronaviruspandemic covid",0.125
"42","official member ecb usa rat race team pandemia everythingismoreimportantthaneverything",0.126
"43","stay strongtheyre test u feabdefbfafebe bringbacksports pandemia covid coronavirus coronaviruspandemic",0.616
"44","wash your hand while sing along to s lost on you stay save everyone eda washyourhands ffabcff washyourlyrics iamlpofficial iamlp lp laurapergolizzi pergolizzi covid pandemia coronavirusea",0.746
"45","bahraini ministry of heal citizen arrive on the plane charter by the ministry within the plan to evacuate citizen from iran a there are eeaefbf coronavirus exist case that have been transferred to the isolate and treatment centercovid pandemia",0.147
"46","dis the season to play this song on a loop sick sick all of u are sick febedaefbfa coronavirus pandemia",0.746
"47","please stop formula eaaefbf please re flag re flag pandemia covid safetyfirst",-0.066
"48","stay at home at home not bee able to work read book play sim eat good food re well v work enjoy create meet friend get moneyand i prefer option ebefbf adulting coronavirus pandemia wtfworld",-0.522
"49","fec coronaviruspandemic aviation trendingnow pandemia xiamenair covid covid coronavirusupdate prayf xishf",0.415
"50","ites terrible new ebefbf covid pandemia vinci",-0.522
"51","dont downgrade your dream just to fit your reality upgrade your conviction to match your destiny edefbf covid coronavirusupdate travelban coronaoutbreak trumpaddress pandemia excepttheuk coronaturkiye coronaturkiye cobrameeting livatm",0.309
"52","ffaacoronavirus updateffaa th case confirm in malta ffb coronavirus malta information fact eacefbf",0.389
"53","we are go to get out of it just think we are do this to avoid they go to cancel pride at june it will be an amaze summer from italy and from quarentine thates all take care folk ffaeffbeda coronavirusupdate italycoronavirus pandemia",0.746
"54","throwbackthursday now you know eba dont forget to send u a dm to quest for free mo for our software solute pandemia livatl",0.657
"55","vxrt stock to buy edaefbfafafa covid codvid pandemia vaccinate",0.746
"56","nba suspend a seasonebefbf codvid pandemia nbasuspended nbatwitter",-0.522
"57","stay home stay calm and make time your ally for extra patience add syrupffb and stormeaaefbf style ffb",0.177
"58","well look like the on way to make men stay home i to tell them that their ball are gonna get hurt ffedeefbf covid coronavirus pandemia",0.125
"59","coronaturkiye coronaviruspandemic covid dadbadadadadadbdadbdadadacdbdadbda pandemia dbda must watch very importanteaaefbf",-0.066
"60","just beat the meat all the time if you dont want to touch your face fabfbedefbfabfbedefbf covid pandemia",0.125
"61","fase muro virtual pandemia italia set trumpcrash trumpvirus trumplandslidevictory trump trumpsnaturalabilities ea",0.453
"62","i literal said it live on stream that this will be a pandemic at the start of january during our bushfire crisis call it point me to me fcecefbfafafafb coronavirus coronaoutbreak covidaustralia covidebc gamers coronavirusoutbreak prayfortom tomhanks pandemia",0.463
"63","this shit just got real if something happen to woody l dont know if my kid will cover ffaaedeefbf covid coronavirus pandemia nowitsserious toystory",0.125
"64","ffcdff how concern are you about the current global pandemiced coronavirus covidireland pandemia covid trump morn thursdaymotivation usa maskedsinger livatl covid lfcatleti psgdor westburydublin liverpool championsleague boywithluv coffee govegan",0.068
"65","canet you see i canet be stopedfai love the cold and the heat so bring it on weaklingsfabfbedefbfafbe canceleverything trumpaddress coronavirusupdate covid pandemic coronaoutbreak corona coronavirus travelban sb kolonya thehuntmovie opporenopro pandemia",0.125
"66","man we cancelling sport event school office work etc etc what we real need to cancel i fafbedefbf damn ites been a rough months god bless and stay safefbecovid trump marzo giuseppeconte pandemia",0.125
"67","magic eca viral loveislove iamvictoralf pandemia tendencias drawthisinyourstyle draw style follobackforfolloback follobackinstantly follome follwers youtube youthwithyou youtuber youtubeisoverparty lifestyle dibujo rteaeaeecedeabeeaefeaee rtebcecb",0.351
"68","the word pandemia i the first time the world i hear act to this in my life time and hopeful the last time staysafe beprepared beselfaware and plz bekindtoeachother throughout this global eventffaaefbffaa fnbasuspendedfad ffceworldslowlylockingdownff",0
"69","pandemia eaefbfa coronavirusoutbreak declare a pandemic by world heal organisation coronavirus covid coronavid corona coronavirustruth",-0.066
"70","cacorre forest cacorre eb codvid pandemia tomhanks australia",-0.522
"71","god save italy and other country edaefbfaefb pandemia coviditalia coviditaly italystaystrong italycoronavirus francecoronavirus covidgermany coviduk coronavirusfrance coronavirusalertamundial",0.746
"72","above u on sky acasatuttibene iorestoacasaedaefbf pandemia coronavirus messinavscovid straightofmessina vivalitaliaffaeffb",0.746
"73","ecfefbf learningathome i provide free access for school that have been close due to the spread of covid fafb",0.342
"74","serioulysinglemovie serioulysinglemovie serioulysingle serioulysinglemovie serioulysingle covid pandemia serioulysinglemovie absolute nothing gud about bng alne but i serious wanna watch especial seeing my crush i in des movieis saedaefbfea",0.746
"75","the world i a brigher place for have italy part of it ffaeffbeaefbf today on instagram ffaaffaeffbandratuttobeneffaeffbffaa pandemia covid",0.657
"76","did the trump administrate fire the u pandemic response team two year before the coronavirus outbreak rate ec true story",0.407
"77","covid pandemia please fecefbf",0.463
"78","i hope he excuse me tongue stick out lains himself did the trump administrate fire the u pandemic response team two year before the coronavirus outbreak rate ec true story",0.407
"79","make sure you excuse me tongue stick out lain yourself did the trump administrate fire the u pandemic response team two year before the coronavirus outbreak rate ec true story",0.407
"80","thank trump did the trump administrate fire the u pandemic response team two year before the coronavirus outbreak rate ec true story",0.407
"81","the ecsports talk radio fraternity and ecsports fansed across the world be like corona sportstalk fdfbceabefbfwashyourhands",-0.037
"82","the move might be to get corona ear and then take advantage of the cheap travel fabfbdedefbf",0.125
"83","tea know exact how i feel ffabaffa corona covid staysafeoutthere ffaffbeda",0.746
"84","say no to panicede say ye to precautionsffbec via pm tweet yrkkh cast and crew on a precaution drill for corona virus prevention yrkkh kaira",0.407
"85","oh ye maam im great thank you for think of me edaefbf corona",0.746
"86","workout done at home ecefbf corona covid",0.27
"87","eaaefbfindia confirm it first death due to coronavirus year old man from karnataka coronaoutbreak corona coronaviruspandemic coronavirusinindia codvidindia coronaalert",-0.066
"88","get well soon edaefbf tomhanks u land a plane on the hudson you were strand on an island you were attack by somalian pirate you save a soldier u ran so hard you were strand in an airport to name a few u will overcome this too corona coronavirusupdate",0.746
"89","imagine they stop the fight because corona fafbedefbf",0.125
"90","now i understand better why cologne i an essential part of turkish hospitality ebaefbf first kiss and hug session then sterilizationffa corona coronaturkey turkish coronavirus coronavirusupdate",0.657
"91","serie a suspend laliga suspend mls suspend ucl postpone euro postpone nba suspend fast will hit theatres april leauge suspend premier league behind close door what else fabedefbf come on g some space to breathe corona",0.125
"92","in the past hourea ffacases ffdead ffabedeefbfrecovered corona coronavirus covid covid new",0.125
"93","this i qom a place where the ayatollas push their follow for heal they got covid instead ffaaeaaefbf corona",-0.066
"94","what an energetic beautiful adore granny edaefbf list to this italian grandmaes advice corona coronavirus coronavirusupdate",0.746
"95","dont let any bug in your writ weak your document catch it bin it kill it ec find out more at",0.407
"96","sunny and warm weather ffce eefbf fresh sea air faf ffcacffca i the b prevention key for slow down corona virus spread sun sea freshseaair dubrovnik croatia aroundtheworld corona mexicoea",0.465
"97","well i guess all we can do now i drink fabfbedefbfdb cheer corona",0.125
"98","do a giveaway ffaadrop cash app nameseacefbfbcoronaviruspandemic covid coronavirusupdate corona tomhanks covd thursdaymorning",0.389
"99","read this eacefbf coronavirusupdate coronavirus coronaviruspandemic corona covid covd covid",0.389
"100","lot of great tip to be found for those struggle with their own isolate right now edaffaeffaa selfisolationhelp coronavirus covid mentalhealthawareness mentalhealth coronavirusireland covid covidireland corona",0.746
"101","while coronavirus can be scary baby i b protect by your liquid gold keep on nurse edaefbf nurse corona tonguetie healthylifestyle help breastfeed breastfeedingmom newbaby baby breastfedbaby",0.746
"102","why the corona look at these leftist talk bout imma show yeall how to bring about some real cancelculture fafbedefbf",0.125
"103","my new drawingffab hope you like itedaefbfcduck duck ducky amaze artwork corona",0.746
"104","what am i miss here when i was grow up our parent would put u in a room intentional with kid who had chickenpox all in an effort to get it over with fabfbedefbf wherearethosebabyboomersnow covid coronaviruspandemic coronavirusupdate coronaoutbreak corona",0.125
"105","we would like to make it clear to everyone that we are busy a usual and on the phone to answer all of your question or concerns in relate to the corona virus stay safe and form efbfa adfront open for busy call now corona virus update",0
"106","of the people in my work section didnt show up today ffabedeefbf corona",0.125
"107","easianewshub cae coronavirusupdates break canadian prime minister justin trudeau will selfisolate and work from home a hi wife i bee test for coronavirus coronavid corona coronavirusoutbreak",0.279
"108","night scene on the cruiseffbb eca the world heal organization who ha declare the worldwide outbreak of the new coronavirus a pandemic with more than case in country and corona deaths letesea",0.351
"109","coronaviruspandemic beware people and maintain hygiene this i real serious now high alert eaa coronavirusinindia corona coronavirusupdate",-0.066
"110","and it gone but i show you right you member maybe you member now ffdffcsome for the wild mind btc bitcoin cryptotrading cryptoleaks chart market crash corona laugh my ass off eccefbf",0.463
"111","i aint say iem psychic im say iem gift eca put this video together way before this epidemic covd covid lockdown tomhanks loonastwin thursdaymorning fridayeve socialdistancing cobrameeting loona mufc corona coronaviruspandemic coronavirusupdate",0.351
"112","what can you say fabfbcedefbf ha to be suspend coronaoutbreak pandemia",0.125
"113","coronavirusoutbreak declare a pandemic by world heal organisation stay safe and isolate survive ffaa pandemia eaefbfa coronavirus covid coronavid corona coronavirustruth",-0.066
"114","thank brasil fafbeaefbfaefb we love you riodejaneiro coronavirusitalla coronavirus codviditalia italy italia italystaystrong coronavirusitaly pandemia china coronavirususa coronavirusenfrance coronavirusmadrid coronavirusupdate brasil brasile coronavirusbrasil",0.657
"115","faefbeaefbfafb chinese doctor support the italian doctor coronavirusitalla coronavirus codviditalia italy italia italystaystrong coronavirusitaly pandemia china coronavirususa coronavirusenfrance coronavirusmadrid coronavirusupdate covid cuarentena coronaoutbreak",0.657
"116","staythefuckhome poland coronavirusupdate covid coronaoutbreak pandemia koronaferie stayhome washinghands becareful love u gay eaaefbf",0.177
"117","in we thought weed have fly car instead weere teach people how to wash their hand ecbfbfabc covid coronavirusupdate pandemia coronaviruspandemic",0.126
"118","if australiangp will be confirm iwillnotwatchit edc healthfirst safetyfirst covid pandemia",0.271
"119","just gather meme before lockdown fafabecefbf covid pandemia globalhealth",0.415
"120","eb stop international flight before it too late covid pandemia dadbdadadadadbdada",0.485
"121","always ahead of the game edaefbf covid coronavirusupdate coronaoutbreak pandemia michaeljackson mask",0.746
"122","now special donet be selfish help each otheres and be kindedaefbf lockdown pandemia socialdistancing europe worldnews quoteoftheday covid coronaoutbreak",0.746
"123","day of quarantine and i am try to keep it busy fabfbcedefbf pandemia lockdown coronaoutbreak cuarentena iorestoacasa coronaviruspandemic gayguy gay photography photooftheday",0.125
"124","it go to last a year and more you what roll out those anti virals dont care if theyve on try it on monkey ill be a guinea pig fbfbdedefbf covid coronavirus pandemia",0.125
"125","corona also attack sharemarketecfb well done coronafdfb blackfriday fridayfeeling",0.463
"126","letes maybe go to venice ites probably real empty right now and maybe cheap much more enjoy than at any other time without all the peep around eefbf corona covid italy venice",0.465
"127","good morn eefbf teatime weekendvibes fridaytheth fridaythoughts fridayfeeling fridayvibes coronavirusupdate corona lockeandkeynetflix thestrangernetflix thegooddoctor covid notestoayoungerme vacation quote lifelessons schoolshutdown worldnews",0.244
"128","everyone i repeat everyone can catch coronavirus sirf trivedi bachega ecfb coronavirus corona covid",0.463
"129","dont miss how india i fight corona corona will hurt with the test leave the country with ebacebebebebaebebaebfaedefbfa go corona ebebaebebaebbf jai amaravati ebbebebebdeb ebebaebdebaebebaebfc",0.125
"130","flight to chicago i like round trip i fuck around and fly home for some jerk taco and pussy from one of my old hoe and be back in hr fabfbedefbf fuckit corona",0.125
"131","for you nasty mfs all touchy feely we can avoid bee lock down for a month if we start with basic hygiene corona coronavirus washyourhands washyourfuckinghands coronavirusoutbreakeaaefbf",-0.066
"132","safe invest i in real estateecc realestate realtor realestateagent property forsale invest realtorlife househunting newhome luxuryrealestate house realty homesweethome luxuryhomes broker busy stockmarket sensex weal coronavirusupdate corona",0.463
"133","arsenal head coach mikel arteta dybala test posit to corona virus this i getting serious fafbedefbf can they suspend the league already",0.125
"134","move over corona amelia and coco are in town fbcfbfbcfbedaefbf postoftheday sakisspinayarn",0.746
"135","how to avoid corona ffaawhile on public ffab transportationed fb",0.068
"136","get well soon everyone affect by corona whether they are football or not eaeefbf every life i important",0
"137","some past event that create the mass hysteria skylab i fall computer will shut down k bug ganesha drank milk now corona china i turn back to normalcy friday the th should be holiday for market ffa it i not feel like armageddon but ffaaedeefbf",0.125
"138","they real want to crash the economy for good this time eaaefbf i indictment the real reason and all covid coronavirus coronaoutbreak covideu covidusa covidworld pandemic who corona i a setup coverup falseflag psyop smokescreen",-0.066
"139","dont be afraidjust be careful photo of the day from kerala fdf caefbf covid coronavirusinindia covid corona coronavirus kerala coronaoutbreak",0.117
"140","corona viruscoronavirus aft it mutate i modify none of you will be safe even it creator myabbagodandhisangelsarepissed good luckbuckle up maybe ff mark ffcffbaff ftdt eff",0.465
"141","hello justintrudeau your welcome to india tamil nadu along with mrssophie here due to the climate n heat corona patient are getting cure the study also say tat it cant survive at excuse me we tamilians love you n your family with love from india tamil nadu edaefbf",0.746
"142","me watch the world go crazy knowing this i just another test from godwe be aitefbdedaefbf",0.746
"143","cricket f corona win football eabdefbf corona win basketball f corona win hockey f corona win box ffaa corona win cinema corona win rugby f corona win school corona win college corona win corona i on fire ffa covid",0.616
"144","they are the true heros feda alessiabonari an italian nurse treat patient with coronavirus convey through a social media post that she was face a medical emergency and was afraid to go to work corona coronaoutbreak respectnurse",0.746
"145","another episode of antinationalism and intellectualjihad by bollywood since gulshan kumars death bollywood i pure and blunt hinduphobic and paint picture for abrahamic religionsec the reason why indian you i go to dog husnjihad jihad corona fakefeminism",0.27
"146","this i me do what i love in a remote sett away from corona work in flutter today on some movement logic for our ecommerce app what in your cup right nowefbfdbfdba flutterdevs corona coronavirus developerlifestyle dart",0.244
"147","this was everybodys yearebcefbf now look at u fabfbedefbfbfa smfh corona",0.125
"148","b of safety country i turkey aganist corona in the world you can come to ebaefbf coronaturkiye coronaviruesue coronawirus",0.657
"149","world fashion follow america and america i follow india namaste indianculture f by the way irish pm leovaradkar i also of indian origineccefbf coronavirus covid covid coronavirusupdate coronavirusinindia coronavirusireland corona coronaviruspandemic newindia",0.463
"150","goedemorgen follow ffbedeefbf buongiornoatutti gutenmorgen bomdia on this day fridaytheth vrijdagdedertiende please f takecare of corona and yourself blackcat hand all of u thank god, it friday fefafbdf",0.125
"151","oh i am way ahead of the game on corona new take vitamin c and chaga mushroom love you mom eaefbf",0.657
"152","follow these step to wash your hand and defeat coronavirus eccefbf covid coronaviruspandemic coronaoutbreak coronaoutbreak covid coronavirus coronavirusinindia corona defeatcovidtogether covidindia coronavirusupdate coronaalert preventionfromcovid who",0.463
"153","stay at home safe and sound my friend edaefbf covid coronavirusupdate corona",0.746
"154","a our family had to schedule our disneyworld trip for next week we recognize how ecluckyed we are to have the opportunity to do so not everyone ha that second chance to every family whose plan have been affect by this new my pray are with you edaefbf corona",0.746
"155","corona virus i teach whole world the indian way of greet namaste namastecorona you can also instead of vreeting with handshake can use namaste to greet other ebaefbf corona coronavirus coronaviruspandemic coronaoutbreak",0.657
"156","drive away from coronaedc coronafree coronavirus kartrepublic karting colombo srilanka kartingsrilanka birelart x sri lanka karting circuit bandaragama",0.271
"157","live coronavirus death toll infection and recovery corona eaefbfa washyourhands fabfbfabf",-0.033
"158","something that made me laugh in the midst of all the covid new stay safe out there people edaefbfb coronaviruspandemic",0.746
"159","when we are busy battle covid look at this girl cry over boysfriend f the excuse me tongue stick out lanation part weak me f edaefbf coronavirusupdate covid coronaviruspandemic coronaoutbreak covd ghanawedey ghanafightscoronavirus",0.746
"160","iem just sayingebefbf covid coronaviruspandemic coronaoutbreak",-0.522
"161","godmorningfriday ffaabstop kill any innocent creature for fashion ffc that too children of the same edefbfowner godffa ffthey also have painffa worldsleepday covid",0.309
"162","flight ec ticket are so cheap this time around due to covid f we hope he i safe wherever he i across the globe",0.415
"163","another day in ghost town fabfbcedefbfa covid london coronaviruspandemic",0.125
"164","my lecture mention something very interesting the other day it got me think member when china try to think of way to reduce their grow population they implement the one child p family policy eacefbf covid coronavirusupdate coronavirussa",0.389
"165","eabefbf this cornwall care home i fuse all nonessential visitor coronaviruspandemic covid ebefbf watch s port on bbcbreakfast this morningea",0.485
"166","hey academictwitter the on place where i actual ever hop to see excuse me tongue stick out onentialgrowth i in my googlescholar citation fafbedefbf now to get your mind off covid here are some baby sloths ffaa slothlove slothsanctuary costarica academicchatter",0.125
"167","limit risk around all communicable ease include probably covid cut the junk food sugar alcohol fine carbs seed oil and cigs get decent sleep exercise and try to eacefbf stress pretty much a lchf lifestyle no guarantee whynot",0.389
"168","are flight still come in to ghana from europefabfbedefbfpeople still fly to ghana from the usa and uk ghana please do something oh coronaoutbreak coronavirus coronavirusupdate closebordersnow covid",0.125
"169","keep safe everyone covid manalig sa amaedefbfaefb",0.309
"170","now canet go to the rugby direct tact with confirm case self isolate he also canet go to parliament and not answer question on sport rortsffaaedeefbf introduce the ban on gather now youere putt fan at risk covid",0.125
"171","people private compile list of who they would like to get the corona virusffaaedeefbf covid coronavirus coronaviruspandemic coronaoutbreak",0.125
"172","eb coronavirus advice heres what you need to do to protect yourself and other when you get home or to work wash your hand with soap and water for second or use hand sanitiserff follow official advice here eeaefbf",0.147
"173","lebanon in a tweet fafbedefbf covid dbdadadad",0.125
"174","fafbfabfhave coronavirus ethic questionsfbfa covid ethic tweetchat with publichealth law excuse me tongue stick out erts wednesday eeaefbfmarch pm pacific pm eastern covid ethicsmpt",0.147
"175","we are conduct a free mo on fullstack course in online mode date time th march excuse me am ist mo session link eeaefbf",0.147
"176","we are conduct a free mo on reactjs in online mode date time th march excuse me am ist mo session link eeaefbf",0.147
"177","somewhere in vietnam ffbbffb the govern always beside people edaefbfcovid vietnamquyetthangdaidich vietnamleavesnoonebehind",0.746
"178","some data about covid by it a long read but worth it stay safe ecefbf",0.463
"179","warn edc no handshake no kiss not even elbowbumping covid",0.271
"180","both scottyfrommarketting and have spoken to the coronavirus this afternoon by phone and have been given assurance that it not go to infect anyone until aft the football match this weekend ffaaedeefbf auspol covid",0.125
"181","up free i not go to kill the coronavirus ffaaedeefbf it ha to be the original flavour irelandlockdown",0.125
"182","take care guy corona i spread take precaution to keep yourself safe eaefbf nayanthara mookuthiamman coronaoutbreak coronavirus bigil darbar",0.657
"183","callumhudsonodoi provide an update on hi coronavirus status ecthank you for all your good wish a i said in the video iem feel good and hope to see you all sonfbedaefbfed",0.746
"184","nigga said was gonn be a movie yeah pandemic fafbdedefbf coronavirus",0.125
"185","bike safe from coronavirus ffdeca",0.429
"186","this lad not even in b f coronavirus fabfbedefbf",0.125
"187","eaaefbf australias home affair minister peterdutton test posit for coronavirus previous he was fend australiaes border security measure taken to stop people with coronavirus enter the country",-0.066
"188","tsunamifireearthquakestormcoronavirusnext will be dragon atackfafbedefbf world who covid coronavirus virus",0.125
"189","ffaa italyes heal care system groan under coronavirus in less than three week the virus ha overload hospital in northern italy offer a glimpse of what country face if they cannot slow the contagion eeaefbf",0.147
"190","sad spring of a pandemic virus so tiny bit of colourful antidote fafaedaefbfadfb be careful out there photo virus colours antidote",0.746
"191","this i itfafedefbfafedefbf kingdom season episode netflix kingdomnetflix kingdom kingdom virus zombie",0.125
"192","this i common sense pleut stay at home edaefbfvirus",0.746
"193","to all metalfam hope you guy are load up with mask and hand sanitize stay safe and stay well wish you guy all the b fafceaefbfafa keep out the virus ffaa",0.177
"194","eaaefbf drbenlynch i all over social media right now he i piss off at the cdc for talk about a vaccine for corona virus when the all the search show corona virus i attack our nutrient store of glutathione selenium and vitamin a",-0.066
"195","eaaefbf drbenlynch i all over social media right now he i piss off at the cdc for talk about a vaccine corona virus when the all the search show corona virus i attack our nutrient store of glutathione selenium and vitamin a",-0.066
"196","i postpone until further notice ffabedeefbf coronavirus edmtwitter edm festival virus lockdown",0.125
"197","eaaefbfwarning do not download this dangerous coronavirus map azorult i a passwordstealing malware steal login data from the stall browse and move it to ecwindowstempeed coronavirus infosec cybersecurity hack covid malware mscyrigo fortbragg virus",-0.066
"198","stay healthy ffbffabf ff let u take step to not get infect by the corona virus fabafafa for travel service please tact efbf ffa infocom ffc",0
"199","we love ben wilkinson bee part of the healthymoves train team wei am very appreciate for the work he ha done for the jumpstartprogram stopdropandyoga work with adult and kid check out their free yoga class online a we go through this virus situate namaste ecfbe",0.463
"200","nowback to life my eefbf and schoolif thates still a the whates go on i hear therees a virus out cancelling everything americans love whates that about",0.465
"201","just say fabfbdedefbf coronavirus covcbd corona viral virus idea",0.125
"202","i this real the president of the usa fabfbedefbf covid",0.125
"203","went to the grocery store overheard sister worry because there was no bread to be found when we were kid we edaefbf when mom let u make bread it simple the ingredient are still on shelve turn the covid panic to a fun weekend in the kitchen a science lesson",0.746
"204","i have break new mainline to my bloodstream so ites very interesting to see how the vast majority of americans consume the new via my girlfriend eacefbf covid",0.389
"205","bad craic when trump i out smart boris fafbedefbf covid coronaoutbreak",0.125
"206","my sweet stepdad peterjurney off a great suggestion for help local restaurant during the covid pandemic and ites gone viralein a goodnews way take care everyone edaefbf",0.746
"207","during a class meet when you are in kindergarten and your teach announce school ha to be close for six week this i how the class community feel fa edaefbf emotionsmatter covid",0.746
"208","ffeaebbefbftonight ecour priority i raise money for but now we have to prioritize the heal and safety of our player spectator and everyone involveded volunteer tournament chair john jenkins covid nbc",0.636
"209","can someone please tell me who the bobble head blonde woman i behind drumpf h incessant head nodding at every one of these presser i infuriate coronapocalypse covid nationalemergency quarantineandchill fcafaedaefbfbafb",0.746
"210","what a wonderful idea eda just because we have to do social distance it doesnt mean we should be emotional distant everyone ha a role to play in help the community and our most vulnerable get through these next few months covid coronavirus selfisolating",0.746
"211","how can digital signage help in a heal crisis like coronaviruseaaefbf",-0.066
"212","spring break isnet cancelled eefbf springbreak beach saltlife coronavirus covid noschool photooftheday fridayfun weekendvibes",0.465
"213","if you have or care for old family and friend heres what you need to know about covid and how to keep them safe during the coronavirus pandemic eeaefbf",0.147
"214","covid a snapshot of emergency fund announcement for coronavirus article by from eeaefbf",0.147
"215","inspired by herobear globaledted i create week act to support matteobear globaledted for ss to do at fa matteo went on a journey frlm chinausaireland otw canada fbdhope covid coronavirus doesnt stop hi flight fafbecefbfce",0.415
"216","mass facepalm ffaaedeefbf oh wait were not allow to do that mass elbowpalm ecbffaa covid",0.126
"217","so also in belgium now strict measure to prevent covid from spread all non urgent hospital appointment surgery cancelled bar re close social distance i the on way we can prevent our heal system burst stay home everyone and stay safe edaefbf",0.746
